ID_nr,CompComf,Comp 1,Comp 2,Comp 3,Comp 4,Comp 5,Comp 6,Comp 7,Comp 8,Comp 9,Comp 10,Comp 11,Comp 12,Comp 13,Comp 14,Comp 15,Comp 16,Comp 17,Comp 18,Comp 19,Comp 20,Comp 21,Comp 22,Comp 23,Comp 24,Comp 25,Comp 26,Comp 27,Comp 28,Comp 29,Comp 30,Comp 31,Sex,Age,IsProgL,IsNotOS,IsNotBrowser,IsRAM,IsPDF,Kohort
149,2,4,5,4,5,5,5,1,5,5,1,5,5,4,3,3,5,5,5,2,5,1,1,5,5,4,5,5,1,1,4,5,Kvinna,24,0,1,1,0,1,1
150,2,2,5,1,3,3,4,2,4,3,3,4,3,3,4,5,3,4,4,1,5,2,2,5,3,1,2,1,3,2,2,1,Kvinna,21,1,1,1,0,1,2
151,8,1,3,1,2,1,1,5,1,3,5,1,1,1,5,3,1,4,1,2,2,5,4,3,2,2,2,2,3,3,2,1,Man,26,1,1,1,0,0,2
152,8,1,2,1,2,2,1,4,2,3,3,2,2,2,4,4,2,3,2,2,3,4,4,2,2,2,3,2,4,3,4,2,Kvinna,23,1,1,1,0,1,2
153,5,2,4,2,3,3,4,3,4,4,2,3,3,3,3,1,5,4,4,2,4,4,1,1,2,3,3,4,2,3,4,4,Kvinna,59,0,0,1,1,1,2
154,9,1,2,1,2,3,2,5,2,2,5,2,1,1,5,4,2,3,2,2,1,4,4,5,1,1,1,1,3,4,1,2,Kvinna,30,1,1,1,1,1,2
155,7,3,1,1,3,1,1,5,2,5,5,2,1,1,5,3,2,3,1,3,2,4,4,4,1,1,1,3,4,5,1,1,Man,23,1,1,1,1,1,2
156,8,2,2,1,5,5,2,4,4,4,4,2,1,4,5,4,4,2,2,5,3,4,4,1,3,1,2,4,3,4,2,2,Kvinna,38,1,0,1,1,1,2
157,8,1,2,1,1,1,1,4,2,4,4,2,2,1,5,5,1,2,1,1,2,4,4,5,1,1,1,1,4,4,1,1,Kvinna,22,1,1,1,0,1,2
158,6,1,2,1,2,4,1,4,1,3,5,2,1,1,5,2,2,4,3,1,2,3,2,2,1,1,2,2,3,4,2,2,Kvinna,20,1,1,1,1,1,2
159,3,3,4,2,4,3,4,2,3,5,4,2,2,2,4,2,5,4,4,1,4,2,2,4,3,2,2,3,3,2,3,4,Kvinna,49,1,1,1,1,1,2
160,5,2,4,1,3,1,4,4,3,3,3,4,2,1,3,2,1,5,4,1,1,3,3,5,3,1,1,2,3,3,1,3,Man,49,1,1,1,1,1,2
161,7,4,4,3,2,1,2,5,5,2,4,1,4,3,2,5,4,5,3,4,5,3,2,1,3,2,4,5,3,2,1,1,Annat/vill inte uppge,23,1,1,1,1,1,2
162,4,1,5,1,3,4,5,1,5,5,1,2,3,5,5,3,3,5,3,1,3,3,1,1,4,1,3,4,1,1,2,5,Kvinna,23,1,1,1,0,0,2
163,8,1,4,1,2,4,2,2,3,2,2,4,4,4,2,3,3,5,3,2,2,4,3,3,4,1,4,2,3,4,4,1,Kvinna,21,0,0,1,0,1,2
164,7,2,2,1,1,1,3,4,4,5,5,3,2,1,4,2,3,5,3,1,3,4,3,5,1,2,3,1,5,2,1,1,Kvinna,35,1,1,1,1,1,2
165,6,1,4,1,1,4,1,4,2,4,4,4,1,1,5,4,2,2,3,3,1,4,4,5,2,1,1,2,4,4,2,1,Kvinna,20,0,1,1,0,1,2
166,7,2,2,1,3,4,2,4,4,4,4,3,3,2,4,5,3,2,2,3,2,4,3,2,2,1,2,1,3,3,2,2,Annat/vill inte uppge,35,1,1,1,1,1,2
167,8,2,4,1,4,4,4,2,3,4,4,2,2,4,2,4,4,4,2,2,3,2,4,4,2,1,4,2,4,4,2,1,Kvinna,17,0,1,1,0,0,2
168,10,1,1,1,1,3,1,5,1,1,5,1,1,1,5,5,2,3,2,2,3,4,5,4,2,1,1,1,4,5,4,1,Kvinna,31,1,1,1,1,1,2
169,9,1,2,1,1,3,2,5,2,4,4,2,1,2,5,4,2,3,2,2,2,4,4,5,2,1,1,1,5,4,2,1,Man,25,1,1,1,1,0,2
170,7,2,5,1,3,4,4,3,4,5,4,4,2,3,4,5,5,3,4,2,5,2,3,1,3,1,4,1,3,2,2,2,Kvinna,20,1,1,1,0,1,2
171,6,3,3,2,4,1,2,3,4,4,3,3,4,1,2,4,3,5,3,1,1,3,3,3,3,1,2,3,1,1,2,3,Man,40,0,1,1,1,1,2
172,6,2,4,1,3,3,4,2,2,4,3,3,3,2,3,4,4,3,3,2,2,2,2,3,2,2,2,3,3,2,2,3,Kvinna,38,1,1,1,0,1,2
173,7,2,2,2,2,2,2,4,3,4,4,3,2,1,4,5,4,3,3,1,2,4,4,3,2,2,2,2,1,2,1,3,Man,24,1,1,1,1,0,2
174,7,1,3,2,4,4,4,3,4,5,4,3,3,3,4,3,5,4,3,2,3,3,3,4,3,2,3,2,4,3,5,4,Kvinna,35,1,0,0,0,1,2
175,6,1,3,1,3,1,1,2,1,1,2,5,4,1,1,4,1,1,5,2,4,2,1,5,5,1,1,1,1,2,4,3,Man,21,1,1,1,0,1,2
176,8,1,3,4,2,1,2,5,2,2,5,4,2,1,4,5,1,2,4,2,2,5,4,5,1,1,1,1,5,3,1,1,Kvinna,27,1,1,1,0,1,2
177,6,1,3,5,3,2,3,4,3,3,3,2,3,1,3,4,2,3,2,2,2,3,3,2,2,1,1,2,1,3,1,2,Kvinna,24,0,1,1,0,1,2
